order_item_id,order_id,product_id,quantity,unit_price,cost_price,discount_pct,tax_amount,shipping_fee,is_refunded
ITEM000036,ORD01756,PROD031,3,2693.06,1140,0.05,1454.25,0,True
ITEM000037,ORD02508,PROD044,2,1806.4,786,0.05,650.3,0,False
ITEM000038,ORD02969,PROD011,2,1201.51,685,0.05,432.55,0,False
ITEM000039,ORD01580,PROD025,4,3468.6,1987,0.1,2497.39,0,False
ITEM000040,ORD02796,PROD046,4,1641.48,815,0.2,1181.87,0,False
ITEM000041,ORD01897,PROD045,2,840.7,384,0.15,302.65,0,False
ITEM000042,ORD00051,PROD034,2,620.24,500,0.0,223.29,40,False
ITEM000043,ORD02357,PROD020,4,211.51,136,0.0,152.29,40,False
ITEM000044,ORD01058,PROD007,4,3025.92,1449,0.0,2178.66,40,False
ITEM000045,ORD01660,PROD033,4,1502.15,1017,0.0,1081.54,0,False
ITEM000046,ORD01613,PROD035,3,2016.46,985,0.05,1088.89,60,False
ITEM000047,ORD01928,PROD029,1,2057.71,830,0.05,370.39,0,False
ITEM000048,ORD02683,PROD012,1,2422.91,1356,0.0,436.12,40,False
ITEM000049,ORD00205,PROD005,2,1420.47,774,0.1,511.37,0,False
ITEM000050,ORD02788,PROD012,3,2422.91,1356,0.1,1308.37,40,False
ITEM000051,ORD01094,PROD029,4,2057.71,830,0.0,1481.55,0,False
ITEM000052,ORD00533,PROD035,4,2016.46,985,0.0,1451.85,60,False
ITEM000053,ORD02156,PROD020,2,211.51,136,0.15,76.14,60,True
ITEM000054,ORD02924,PROD037,2,281.16,121,0.05,101.22,60,False
ITEM000055,ORD01265,PROD001,3,1746.41,799,0.0,943.06,0,False
ITEM000056,ORD00251,PROD016,1,2282.55,1535,0.0,410.86,0,True
ITEM000057,ORD00135,PROD030,1,504.05,291,0.0,90.73,100,False
ITEM000058,ORD01615,PROD009,4,798.08,513,0.0,574.62,0,False
ITEM000059,ORD02737,PROD042,2,3077.94,1393,0.1,1108.06,100,False
ITEM000060,ORD00407,PROD010,3,3939.1,1578,0.0,2127.11,0,False
ITEM000061,ORD00102,PROD013,4,1902.92,1347,0.0,1370.1,100,True
ITEM000062,ORD01385,PROD048,1,1070.85,862,0.0,192.75,100,False
ITEM000063,ORD02741,PROD020,1,211.51,136,0.1,38.07,40,False
ITEM000064,ORD01552,PROD029,3,2057.71,830,0.0,1111.16,0,False
ITEM000065,ORD01632,PROD004,4,752.0,464,0.0,541.44,0,False
ITEM000066,ORD01317,PROD046,3,1641.48,815,0.05,886.4,100,False
ITEM000067,ORD00404,PROD049,4,3236.09,1350,0.0,2329.98,60,False
ITEM000068,ORD00814,PROD028,1,2252.23,1447,0.0,405.4,0,False
ITEM000069,ORD02903,PROD037,2,281.16,121,0.0,101.22,0,False
ITEM000070,ORD01630,PROD013,2,1902.92,1347,0.1,685.05,60,False
ITEM000071,ORD01027,PROD003,1,1173.47,955,0.2,211.22,40,False
ITEM000072,ORD02990,PROD037,2,281.16,121,0.0,101.22,60,False
ITEM000073,ORD01021,PROD048,2,1070.85,862,0.0,385.51,60,False
ITEM000074,ORD02225,PROD019,4,2758.41,1345,0.0,1986.06,100,False
ITEM000075,ORD01281,PROD028,3,2252.23,1447,0.1,1216.2,0,False
ITEM000076,ORD02921,PROD019,4,2758.41,1345,0.05,1986.06,0,False
ITEM000077,ORD02525,PROD017,3,877.06,671,0.1,473.61,0,False
ITEM000078,ORD02446,PROD018,3,904.74,434,0.05,488.56,100,False
ITEM000079,ORD01520,PROD018,2,904.74,434,0.15,325.71,0,False
ITEM000080,ORD00220,PROD023,3,2324.12,1319,0.15,1255.03,0,True
ITEM000081,ORD02005,PROD040,3,445.33,309,0.1,240.48,0,False
ITEM000082,ORD00173,PROD050,1,2095.72,1047,0.0,377.23,0,False
ITEM000083,ORD02784,PROD009,3,798.08,513,0.0,430.96,60,False
ITEM000084,ORD01414,PROD029,1,2057.71,830,0.05,370.39,60,False
ITEM000085,ORD00502,PROD042,4,3077.94,1393,0.05,2216.12,40,True
ITEM000086,ORD01813,PROD029,2,2057.71,830,0.05,740.78,0,False
ITEM000087,ORD02809,PROD002,3,673.88,547,0.0,363.9,100,False
ITEM000088,ORD02179,PROD017,1,877.06,671,0.05,157.87,0,False
ITEM000089,ORD00798,PROD045,4,840.7,384,0.0,605.31,40,False
ITEM000090,ORD02847,PROD031,4,2693.06,1140,0.05,1939.0,0,False
ITEM000091,ORD00930,PROD028,4,2252.23,1447,0.0,1621.6,0,False
ITEM000092,ORD00723,PROD043,1,1768.37,803,0.0,318.31,0,False
ITEM000093,ORD02263,PROD048,1,1070.85,862,0.0,192.75,40,False
ITEM000094,ORD01334,PROD039,2,3056.1,1243,0.15,1100.2,40,False
ITEM000095,ORD01275,PROD030,3,504.05,291,0.0,272.19,0,True
ITEM000096,ORD00488,PROD035,4,2016.46,985,0.0,1451.85,0,False
ITEM000097,ORD01958,PROD048,2,1070.85,862,0.0,385.51,60,False
ITEM000098,ORD01218,PROD020,1,211.51,136,0.05,38.07,0,False
ITEM000099,ORD01465,PROD016,2,2282.55,1535,0.0,821.72,0,False
ITEM000100,ORD00313,PROD034,4,620.24,500,0.2,446.57,0,True
ITEM000101,ORD00079,PROD014,4,2440.94,1093,0.05,1757.48,60,False
ITEM000102,ORD02228,PROD026,2,1183.54,583,0.0,426.07,0,False
ITEM000103,ORD00675,PROD020,4,211.51,136,0.05,152.29,100,False
ITEM000104,ORD01738,PROD042,1,3077.94,1393,0.0,554.03,0,False
ITEM000105,ORD00014,PROD024,4,2463.1,1015,0.1,1773.43,0,False
ITEM000106,ORD02907,PROD043,3,1768.37,803,0.0,954.92,0,True
ITEM000107,ORD02294,PROD018,3,904.74,434,0.2,488.56,40,True
ITEM000108,ORD02046,PROD043,4,1768.37,803,0.05,1273.22,0,False
ITEM000109,ORD01038,PROD009,2,798.08,513,0.1,287.31,40,False
ITEM000110,ORD02147,PROD019,4,2758.41,1345,0.0,1986.06,0,False
ITEM000111,ORD00033,PROD020,3,211.51,136,0.0,114.22,0,False
ITEM000112,ORD01460,PROD042,1,3077.94,1393,0.1,554.03,60,False
ITEM000113,ORD00257,PROD030,3,504.05,291,0.05,272.19,60,False
ITEM000114,ORD00034,PROD026,4,1183.54,583,0.0,852.15,0,False
ITEM000115,ORD02067,PROD031,4,2693.06,1140,0.0,1939.0,40,False
ITEM000116,ORD01284,PROD035,2,2016.46,985,0.0,725.93,40,False
ITEM000117,ORD02637,PROD003,4,1173.47,955,0.05,844.9,0,False
ITEM000118,ORD01850,PROD040,4,445.33,309,0.0,320.63,0,False
ITEM000119,ORD02185,PROD029,1,2057.71,830,0.0,370.39,0,False
ITEM000120,ORD00359,PROD006,1,2437.09,1107,0.0,438.68,0,False
ITEM000121,ORD00754,PROD001,1,1746.41,799,0.0,314.35,60,False
ITEM000122,ORD01603,PROD024,2,2463.1,1015,0.0,886.72,0,False
ITEM000123,ORD00404,PROD038,2,1040.09,573,0.2,374.43,0,False
ITEM000124,ORD01226,PROD034,3,620.24,500,0.0,334.93,0,False
ITEM000125,ORD01400,PROD007,2,3025.92,1449,0.15,1089.33,100,False
ITEM000126,ORD02298,PROD011,1,1201.51,685,0.0,216.27,60,True
ITEM000127,ORD02494,PROD011,2,1201.51,685,0.0,432.55,0,False
ITEM000128,ORD00278,PROD036,4,1349.98,804,0.0,971.99,0,False
ITEM000129,ORD00112,PROD020,2,211.51,136,0.05,76.14,0,False
ITEM000130,ORD01987,PROD016,4,2282.55,1535,0.05,1643.43,40,False
ITEM000131,ORD02794,PROD005,3,1420.47,774,0.0,767.06,0,False
ITEM000132,ORD02736,PROD024,4,2463.1,1015,0.0,1773.43,100,True
ITEM000133,ORD00392,PROD030,1,504.05,291,0.15,90.73,0,False
ITEM000134,ORD00969,PROD030,3,504.05,291,0.2,272.19,40,False
ITEM000135,ORD02191,PROD039,3,3056.1,1243,0.0,1650.3,60,False
ITEM000136,ORD01056,PROD048,3,1070.85,862,0.05,578.26,60,False
ITEM000137,ORD02229,PROD047,1,2465.74,1799,0.0,443.83,0,False
ITEM000138,ORD02627,PROD037,4,281.16,121,0.0,202.44,40,False
ITEM000139,ORD02846,PROD033,3,1502.15,1017,0.0,811.16,0,False
ITEM000140,ORD00269,PROD020,1,211.51,136,0.0,38.07,0,False
ITEM000141,ORD02601,PROD022,3,526.43,377,0.1,284.27,60,False
ITEM000142,ORD02681,PROD041,3,943.33,405,0.0,509.4,100,False
ITEM000143,ORD02030,PROD021,1,2650.5,1088,0.05,477.09,60,False
ITEM000144,ORD00275,PROD037,2,281.16,121,0.15,101.22,0,False
ITEM000145,ORD00743,PROD027,3,2343.53,1365,0.0,1265.51,60,False
ITEM000146,ORD00086,PROD038,2,1040.09,573,0.0,374.43,0,False
ITEM000147,ORD00404,PROD035,3,2016.46,985,0.1,1088.89,0,False
ITEM000148,ORD02240,PROD038,2,1040.09,573,0.0,374.43,40,False
ITEM000149,ORD02046,PROD040,4,445.33,309,0.0,320.63,0,False
ITEM000150,ORD01055,PROD006,2,2437.09,1107,0.0,877.35,100,False
ITEM000151,ORD02155,PROD032,2,933.84,623,0.0,336.18,0,False
ITEM000152,ORD01895,PROD016,2,2282.55,1535,0.15,821.72,0,False
ITEM000153,ORD02670,PROD028,2,2252.23,1447,0.05,810.8,40,False
ITEM000154,ORD00276,PROD016,4,2282.55,1535,0.0,1643.43,60,False
ITEM000155,ORD00651,PROD027,1,2343.53,1365,0.05,421.84,0,False
ITEM000156,ORD01622,PROD003,2,1173.47,955,0.2,422.45,0,False
ITEM000157,ORD02604,PROD049,1,3236.09,1350,0.0,582.5,60,False
ITEM000158,ORD01106,PROD021,3,2650.5,1088,0.0,1431.27,0,False
ITEM000159,ORD01914,PROD038,1,1040.09,573,0.2,187.22,0,False
ITEM000160,ORD02615,PROD038,2,1040.09,573,0.2,374.43,40,False
ITEM000161,ORD00586,PROD030,1,504.05,291,0.0,90.73,0,False
ITEM000162,ORD02933,PROD022,4,526.43,377,0.0,379.03,100,True
ITEM000163,ORD00129,PROD019,4,2758.41,1345,0.0,1986.06,40,False
ITEM000164,ORD00256,PROD031,2,2693.06,1140,0.0,969.5,100,False
ITEM000165,ORD02982,PROD020,1,211.51,136,0.05,38.07,0,False
ITEM000166,ORD00231,PROD047,3,2465.74,1799,0.0,1331.5,100,False
ITEM000167,ORD01161,PROD019,4,2758.41,1345,0.0,1986.06,0,False
ITEM000168,ORD02911,PROD002,2,673.88,547,0.0,242.6,0,False
ITEM000169,ORD02403,PROD040,4,445.33,309,0.2,320.63,0,False
ITEM000170,ORD01648,PROD039,2,3056.1,1243,0.0,1100.2,0,False
ITEM000171,ORD02194,PROD027,1,2343.53,1365,0.0,421.84,0,False
ITEM000172,ORD02048,PROD008,1,1007.3,566,0.2,181.31,40,False
ITEM000173,ORD00260,PROD045,1,840.7,384,0.05,151.33,0,False
ITEM000174,ORD02135,PROD027,1,2343.53,1365,0.0,421.84,0,False
ITEM000175,ORD00843,PROD015,1,4106.89,1954,0.0,739.24,40,False
ITEM000176,ORD01972,PROD012,2,2422.91,1356,0.0,872.25,0,False
ITEM000177,ORD00265,PROD047,4,2465.74,1799,0.05,1775.33,60,True
ITEM000178,ORD00392,PROD014,3,2440.94,1093,0.0,1318.11,40,False
ITEM000179,ORD02280,PROD007,4,3025.92,1449,0.0,2178.66,100,False
ITEM000180,ORD00901,PROD017,1,877.06,671,0.0,157.87,0,False
ITEM000181,ORD00588,PROD026,4,1183.54,583,0.0,852.15,100,False
ITEM000182,ORD02495,PROD037,4,281.16,121,0.05,202.44,40,False
ITEM000183,ORD01153,PROD020,2,211.51,136,0.0,76.14,100,False
ITEM000184,ORD01295,PROD010,3,3939.1,1578,0.0,2127.11,0,False
ITEM000185,ORD00466,PROD019,3,2758.41,1345,0.15,1489.54,60,False
ITEM000186,ORD02982,PROD018,1,904.74,434,0.05,162.85,60,False
ITEM000187,ORD01194,PROD030,2,504.05,291,0.0,181.46,0,False
ITEM000188,ORD02176,PROD030,2,504.05,291,0.05,181.46,40,False
ITEM000189,ORD01973,PROD025,2,3468.6,1987,0.0,1248.7,60,False
ITEM000190,ORD01050,PROD024,2,2463.1,1015,0.1,886.72,40,False
ITEM000191,ORD02621,PROD010,2,3939.1,1578,0.1,1418.08,0,False
ITEM000192,ORD02559,PROD002,3,673.88,547,0.05,363.9,40,False
ITEM000193,ORD00488,PROD038,3,1040.09,573,0.1,561.65,0,False
ITEM000194,ORD02939,PROD032,4,933.84,623,0.0,672.36,60,False
ITEM000195,ORD02627,PROD035,3,2016.46,985,0.1,1088.89,0,False
ITEM000196,ORD00950,PROD037,2,281.16,121,0.0,101.22,0,False
ITEM000197,ORD00406,PROD007,4,3025.92,1449,0.0,2178.66,0,False
ITEM000198,ORD01050,PROD007,3,3025.92,1449,0.15,1634.0,40,False
ITEM000199,ORD01107,PROD027,4,2343.53,1365,0.05,1687.34,100,False
ITEM000200,ORD00364,PROD010,3,3939.1,1578,0.2,2127.11,0,False
ITEM000201,ORD01391,PROD033,1,1502.15,1017,0.0,270.39,0,False
ITEM000202,ORD01084,PROD043,3,1768.37,803,0.0,954.92,0,False
ITEM000203,ORD00551,PROD007,4,3025.92,1449,0.0,2178.66,60,False
ITEM000204,ORD01659,PROD006,1,2437.09,1107,0.05,438.68,0,False
ITEM000205,ORD00292,PROD006,2,2437.09,1107,0.0,877.35,0,False
ITEM000206,ORD02837,PROD013,4,1902.92,1347,0.0,1370.1,40,False
ITEM000207,ORD01961,PROD048,2,1070.85,862,0.0,385.51,0,False
ITEM000208,ORD02864,PROD013,2,1902.92,1347,0.1,685.05,0,False
ITEM000209,ORD01818,PROD002,4,673.88,547,0.0,485.2,0,False
ITEM000210,ORD00191,PROD019,2,2758.41,1345,0.1,993.03,60,False
ITEM000211,ORD00461,PROD019,4,2758.41,1345,0.0,1986.06,100,False
ITEM000212,ORD02712,PROD050,4,2095.72,1047,0.0,1508.92,60,False
ITEM000213,ORD01920,PROD038,3,1040.09,573,0.0,561.65,0,False
ITEM000214,ORD02281,PROD002,1,673.88,547,0.2,121.3,40,True
ITEM000215,ORD02522,PROD026,2,1183.54,583,0.0,426.07,0,False
ITEM000216,ORD02706,PROD006,2,2437.09,1107,0.0,877.35,60,False
ITEM000217,ORD00271,PROD020,1,211.51,136,0.1,38.07,40,True
ITEM000218,ORD01158,PROD023,1,2324.12,1319,0.0,418.34,100,False
ITEM000219,ORD00171,PROD015,1,4106.89,1954,0.1,739.24,0,False
ITEM000220,ORD01439,PROD006,1,2437.09,1107,0.0,438.68,60,False
ITEM000221,ORD00028,PROD028,1,2252.23,1447,0.0,405.4,40,False
ITEM000222,ORD00136,PROD035,3,2016.46,985,0.0,1088.89,0,False
ITEM000223,ORD02973,PROD011,4,1201.51,685,0.0,865.09,40,False
ITEM000224,ORD02453,PROD008,1,1007.3,566,0.1,181.31,100,True
ITEM000225,ORD00888,PROD050,3,2095.72,1047,0.1,1131.69,100,False
ITEM000226,ORD01529,PROD049,1,3236.09,1350,0.05,582.5,60,False
ITEM000227,ORD01265,PROD024,1,2463.1,1015,0.15,443.36,0,False
ITEM000228,ORD00856,PROD021,2,2650.5,1088,0.0,954.18,60,False
ITEM000229,ORD02492,PROD049,2,3236.09,1350,0.0,1164.99,40,False
ITEM000230,ORD02482,PROD036,2,1349.98,804,0.05,485.99,0,False
ITEM000231,ORD01252,PROD007,2,3025.92,1449,0.05,1089.33,0,False
ITEM000232,ORD00509,PROD005,4,1420.47,774,0.0,1022.74,0,False
ITEM000233,ORD01327,PROD029,4,2057.71,830,0.05,1481.55,0,False
ITEM000234,ORD02082,PROD016,2,2282.55,1535,0.0,821.72,60,False
ITEM000235,ORD01026,PROD006,2,2437.09,1107,0.1,877.35,0,False
ITEM000236,ORD00362,PROD014,1,2440.94,1093,0.1,439.37,0,False
ITEM000237,ORD01219,PROD002,1,673.88,547,0.05,121.3,0,False
ITEM000238,ORD00606,PROD025,2,3468.6,1987,0.0,1248.7,0,False
ITEM000239,ORD01864,PROD031,2,2693.06,1140,0.05,969.5,0,False
ITEM000240,ORD01332,PROD050,2,2095.72,1047,0.1,754.46,0,False
ITEM000241,ORD01671,PROD050,1,2095.72,1047,0.0,377.23,0,False
ITEM000242,ORD00716,PROD013,2,1902.92,1347,0.0,685.05,40,False
ITEM000243,ORD02298,PROD018,2,904.74,434,0.2,325.71,0,False
ITEM000244,ORD02195,PROD017,4,877.06,671,0.0,631.48,40,False
ITEM000245,ORD00348,PROD045,4,840.7,384,0.0,605.31,0,False
ITEM000246,ORD01278,PROD028,1,2252.23,1447,0.0,405.4,0,False
ITEM000247,ORD00399,PROD012,4,2422.91,1356,0.05,1744.49,0,False
ITEM000248,ORD01358,PROD035,1,2016.46,985,0.15,362.96,0,False
ITEM000249,ORD01200,PROD022,3,526.43,377,0.05,284.27,0,False
ITEM000250,ORD02173,PROD039,2,3056.1,1243,0.0,1100.2,0,False
ITEM000251,ORD02811,PROD001,1,1746.41,799,0.05,314.35,0,False
ITEM000252,ORD02446,PROD037,4,281.16,121,0.05,202.44,60,False
ITEM000253,ORD02179,PROD021,3,2650.5,1088,0.05,1431.27,0,False
ITEM000254,ORD01586,PROD001,4,1746.41,799,0.0,1257.41,60,False
ITEM000255,ORD02653,PROD004,1,752.0,464,0.05,135.36,60,False
ITEM000256,ORD02940,PROD032,3,933.84,623,0.0,504.27,60,False
ITEM000257,ORD00822,PROD001,4,1746.41,799,0.0,1257.41,0,False
ITEM000258,ORD00902,PROD013,3,1902.92,1347,0.05,1027.58,60,False
ITEM000259,ORD00945,PROD046,2,1641.48,815,0.2,590.93,0,False
ITEM000260,ORD02780,PROD047,2,2465.74,1799,0.0,887.67,0,False
ITEM000261,ORD01870,PROD017,3,877.06,671,0.2,473.61,0,False
ITEM000262,ORD00334,PROD012,4,2422.91,1356,0.0,1744.49,100,False
ITEM000263,ORD01044,PROD007,4,3025.92,1449,0.1,2178.66,0,False
ITEM000264,ORD02253,PROD003,4,1173.47,955,0.0,844.9,100,True
ITEM000265,ORD00355,PROD050,2,2095.72,1047,0.0,754.46,0,False
ITEM000266,ORD01197,PROD026,1,1183.54,583,0.05,213.04,100,False
ITEM000267,ORD01213,PROD031,1,2693.06,1140,0.05,484.75,100,False
ITEM000268,ORD00824,PROD036,3,1349.98,804,0.1,728.99,100,False
ITEM000269,ORD01026,PROD026,4,1183.54,583,0.05,852.15,0,False
ITEM000270,ORD01897,PROD003,3,1173.47,955,0.05,633.67,60,False
ITEM000271,ORD02989,PROD044,1,1806.4,786,0.15,325.15,100,False
ITEM000272,ORD00168,PROD028,1,2252.23,1447,0.0,405.4,0,False
ITEM000273,ORD02416,PROD044,4,1806.4,786,0.0,1300.61,0,True
ITEM000274,ORD00536,PROD017,3,877.06,671,0.0,473.61,60,False
ITEM000275,ORD01949,PROD038,4,1040.09,573,0.0,748.87,0,False
ITEM000276,ORD02628,PROD047,1,2465.74,1799,0.1,443.83,60,False
ITEM000277,ORD01620,PROD030,1,504.05,291,0.0,90.73,0,False
ITEM000278,ORD00950,PROD002,4,673.88,547,0.0,485.2,40,False
ITEM000279,ORD00207,PROD008,3,1007.3,566,0.0,543.94,0,False
ITEM000280,ORD00544,PROD014,2,2440.94,1093,0.05,878.74,0,False
ITEM000281,ORD00129,PROD037,4,281.16,121,0.0,202.44,0,False
ITEM000282,ORD01471,PROD035,1,2016.46,985,0.0,362.96,60,False
ITEM000283,ORD02662,PROD042,2,3077.94,1393,0.05,1108.06,0,False
ITEM000284,ORD02083,PROD039,4,3056.1,1243,0.1,2200.39,60,False
ITEM000285,ORD02867,PROD011,2,1201.51,685,0.0,432.55,60,False
ITEM000286,ORD02247,PROD015,4,4106.89,1954,0.05,2956.96,0,False
ITEM000287,ORD01837,PROD002,1,673.88,547,0.0,121.3,0,False
ITEM000288,ORD00077,PROD037,4,281.16,121,0.15,202.44,0,False
ITEM000289,ORD00369,PROD043,2,1768.37,803,0.0,636.61,0,False
ITEM000290,ORD02881,PROD032,3,933.84,623,0.2,504.27,0,False
ITEM000291,ORD00526,PROD040,1,445.33,309,0.2,80.16,40,False
ITEM000292,ORD00349,PROD013,1,1902.92,1347,0.1,342.53,100,False
ITEM000293,ORD00506,PROD043,2,1768.37,803,0.0,636.61,0,False
ITEM000294,ORD00643,PROD017,4,877.06,671,0.05,631.48,40,False
ITEM000295,ORD00238,PROD015,4,4106.89,1954,0.0,2956.96,100,False
ITEM000296,ORD01304,PROD033,4,1502.15,1017,0.15,1081.54,60,False
ITEM000297,ORD01601,PROD016,1,2282.55,1535,0.1,410.86,60,True
ITEM000298,ORD01456,PROD013,1,1902.92,1347,0.2,342.53,60,False
ITEM000299,ORD02186,PROD022,2,526.43,377,0.05,189.52,0,False
ITEM000300,ORD02660,PROD023,4,2324.12,1319,0.05,1673.37,60,False
ITEM000301,ORD01674,PROD036,4,1349.98,804,0.05,971.99,100,False
ITEM000302,ORD02728,PROD043,2,1768.37,803,0.0,636.61,0,False
ITEM000303,ORD01847,PROD050,1,2095.72,1047,0.0,377.23,0,False
ITEM000304,ORD01855,PROD050,1,2095.72,1047,0.05,377.23,0,False
ITEM000305,ORD02887,PROD010,3,3939.1,1578,0.15,2127.11,0,False
ITEM000306,ORD02986,PROD017,3,877.06,671,0.05,473.61,0,False
ITEM000307,ORD00355,PROD030,4,504.05,291,0.15,362.92,40,False
ITEM000308,ORD02626,PROD013,1,1902.92,1347,0.15,342.53,40,False
ITEM000309,ORD02895,PROD030,4,504.05,291,0.05,362.92,0,False
ITEM000310,ORD00559,PROD046,1,1641.48,815,0.0,295.47,0,False
ITEM000311,ORD02897,PROD030,3,504.05,291,0.05,272.19,60,False
ITEM000312,ORD01918,PROD007,2,3025.92,1449,0.0,1089.33,0,False
ITEM000313,ORD01255,PROD010,1,3939.1,1578,0.0,709.04,0,False
ITEM000314,ORD01682,PROD035,3,2016.46,985,0.0,1088.89,40,False
ITEM000315,ORD01170,PROD002,3,673.88,547,0.2,363.9,0,False
ITEM000316,ORD01176,PROD030,1,504.05,291,0.0,90.73,0,False
ITEM000317,ORD01815,PROD019,4,2758.41,1345,0.05,1986.06,0,False
ITEM000318,ORD02188,PROD039,1,3056.1,1243,0.1,550.1,60,False
ITEM000319,ORD00663,PROD037,3,281.16,121,0.05,151.83,40,False
ITEM000320,ORD00021,PROD003,1,1173.47,955,0.05,211.22,0,False
ITEM000321,ORD02112,PROD025,2,3468.6,1987,0.1,1248.7,0,False
ITEM000322,ORD01242,PROD034,4,620.24,500,0.0,446.57,40,False
ITEM000323,ORD00162,PROD022,1,526.43,377,0.0,94.76,60,False
ITEM000324,ORD00130,PROD038,3,1040.09,573,0.2,561.65,40,False
ITEM000325,ORD02629,PROD014,3,2440.94,1093,0.0,1318.11,60,True
ITEM000326,ORD01951,PROD039,4,3056.1,1243,0.05,2200.39,40,False
ITEM000327,ORD00225,PROD002,1,673.88,547,0.05,121.3,60,False
ITEM000328,ORD01782,PROD032,3,933.84,623,0.0,504.27,60,False
ITEM000329,ORD00580,PROD043,4,1768.37,803,0.2,1273.22,60,False
ITEM000330,ORD01478,PROD003,2,1173.47,955,0.1,422.45,100,False
ITEM000331,ORD00107,PROD041,4,943.33,405,0.0,679.2,0,False
ITEM000332,ORD02669,PROD008,1,1007.3,566,0.2,181.31,100,False
ITEM000333,ORD00840,PROD026,1,1183.54,583,0.1,213.04,40,False
ITEM000334,ORD01165,PROD032,3,933.84,623,0.0,504.27,60,False
ITEM000335,ORD02625,PROD011,2,1201.51,685,0.05,432.55,0,False
ITEM000336,ORD01158,PROD050,1,2095.72,1047,0.0,377.23,40,False
ITEM000337,ORD02247,PROD001,3,1746.41,799,0.05,943.06,60,False
ITEM000338,ORD02558,PROD015,4,4106.89,1954,0.0,2956.96,0,False
ITEM000339,ORD00667,PROD004,4,752.0,464,0.05,541.44,40,False
ITEM000340,ORD02127,PROD004,1,752.0,464,0.05,135.36,60,False
ITEM000341,ORD01972,PROD028,2,2252.23,1447,0.15,810.8,0,False
ITEM000342,ORD02942,PROD010,3,3939.1,1578,0.1,2127.11,0,False
ITEM000343,ORD00512,PROD011,1,1201.51,685,0.0,216.27,40,False
ITEM000344,ORD00250,PROD050,3,2095.72,1047,0.15,1131.69,40,False
ITEM000345,ORD00889,PROD023,4,2324.12,1319,0.05,1673.37,0,False
ITEM000346,ORD01024,PROD047,3,2465.74,1799,0.05,1331.5,0,False
ITEM000347,ORD00599,PROD003,4,1173.47,955,0.0,844.9,0,False
ITEM000348,ORD00753,PROD039,2,3056.1,1243,0.15,1100.2,0,False
ITEM000349,ORD00600,PROD039,2,3056.1,1243,0.15,1100.2,0,False
ITEM000350,ORD02531,PROD017,4,877.06,671,0.1,631.48,60,False
ITEM000351,ORD02884,PROD022,1,526.43,377,0.15,94.76,40,False
ITEM000352,ORD02220,PROD027,4,2343.53,1365,0.0,1687.34,60,False
