order_id,order_date,customer_id,payment_status,fulfillment_status,channel
ORD00065,2024-03-03,CUST0302,Paid,Delivered,Amazon Ads
ORD00066,2023-11-01,CUST0178,Paid,Delivered,Email
ORD00067,2023-11-13,CUST0176,Paid,Returned,Direct
ORD00068,2024-09-26,CUST0390,Paid,Shipped,Instagram
ORD00069,2023-01-09,CUST0217,Paid,Shipped,Amazon Ads
ORD00070,2023-03-14,CUST0056,Paid,Shipped,Instagram
ORD00071,2023-12-25,CUST0366,Paid,Shipped,Email
ORD00072,2023-08-11,CUST0187,Paid,Returned,Amazon Ads
ORD00073,2024-02-20,CUST0232,Paid,Delivered,Email
ORD00074,2024-07-06,CUST0255,Paid,Shipped,Direct
ORD00075,2024-01-05,CUST0413,Paid,Shipped,Flipkart Ads
ORD00076,2024-12-16,CUST0455,Paid,Shipped,Google Ads
ORD00077,2023-09-21,CUST0104,Paid,Shipped,Amazon Ads
ORD00078,2024-11-20,CUST0077,Paid,Delivered,Google Ads
ORD00079,2023-11-14,CUST0230,Paid,Shipped,Flipkart Ads
ORD00080,2023-03-25,CUST0402,Paid,Shipped,Amazon Ads
ORD00081,2023-11-14,CUST0258,Pending,Shipped,Google Ads
ORD00082,2023-04-21,CUST0264,Paid,Shipped,Google Ads
ORD00083,2023-09-08,CUST0331,Paid,Shipped,Amazon Ads
ORD00084,2024-01-18,CUST0481,Paid,Delivered,Google Ads
ORD00085,2023-01-07,CUST0182,Paid,Shipped,Google Ads
ORD00086,2024-04-03,CUST0381,Paid,Shipped,Amazon Ads
ORD00087,2023-03-25,CUST0256,Paid,Shipped,Google Ads
ORD00088,2023-07-27,CUST0038,Paid,Shipped,Google Ads
ORD00089,2024-01-25,CUST0176,Paid,Delivered,Instagram
ORD00090,2023-11-10,CUST0027,Paid,Shipped,Direct
ORD00091,2023-01-22,CUST0276,Paid,Shipped,Instagram
ORD00092,2024-02-14,CUST0140,Paid,Shipped,Flipkart Ads
ORD00093,2024-05-29,CUST0299,Paid,Shipped,Instagram
ORD00094,2023-05-07,CUST0445,Paid,Shipped,Instagram
ORD00095,2024-11-30,CUST0287,Paid,Shipped,Flipkart Ads
ORD00096,2023-01-14,CUST0091,Pending,Delivered,Google Ads
ORD00097,2023-01-12,CUST0480,Paid,Shipped,Google Ads
ORD00098,2023-03-28,CUST0061,Paid,Shipped,Instagram
ORD00099,2024-06-07,CUST0458,Paid,Shipped,Flipkart Ads
ORD00100,2024-06-20,CUST0451,Paid,Shipped,Google Ads
ORD00101,2023-10-28,CUST0365,Paid,Delivered,Email
ORD00102,2023-08-31,CUST0347,Pending,Shipped,Amazon Ads
ORD00103,2023-05-02,CUST0163,Paid,Shipped,Amazon Ads
ORD00104,2023-05-27,CUST0351,Paid,Returned,Direct
ORD00105,2024-07-20,CUST0143,Paid,Shipped,Amazon Ads
ORD00106,2023-12-22,CUST0400,Paid,Shipped,Instagram
ORD00107,2024-11-15,CUST0253,Paid,Shipped,Amazon Ads
ORD00108,2024-09-22,CUST0269,Paid,Shipped,Amazon Ads
ORD00109,2023-11-05,CUST0369,Paid,Shipped,Email
ORD00110,2024-11-25,CUST0291,Paid,Shipped,Google Ads
ORD00111,2023-10-15,CUST0500,Paid,Shipped,Email
ORD00112,2023-11-03,CUST0459,Paid,Returned,Instagram
ORD00113,2024-08-16,CUST0187,Paid,Shipped,Amazon Ads
ORD00114,2024-12-23,CUST0405,Paid,Shipped,Google Ads
ORD00115,2024-10-23,CUST0499,Paid,Shipped,Direct
ORD00116,2024-07-02,CUST0438,Paid,Delivered,Direct
ORD00117,2023-12-18,CUST0459,Paid,Shipped,Amazon Ads
ORD00118,2023-11-08,CUST0414,Paid,Shipped,Amazon Ads
ORD00119,2023-02-28,CUST0304,Paid,Shipped,Direct
ORD00120,2024-10-04,CUST0291,Paid,Shipped,Direct
ORD00121,2024-12-14,CUST0086,Paid,Delivered,Instagram
ORD00122,2023-02-04,CUST0166,Paid,Shipped,Amazon Ads
ORD00123,2024-03-20,CUST0415,Paid,Shipped,Direct
ORD00124,2023-04-03,CUST0462,Paid,Shipped,Flipkart Ads
ORD00125,2023-07-26,CUST0408,Paid,Shipped,Direct
ORD00126,2023-12-19,CUST0114,Paid,Delivered,Google Ads
ORD00127,2023-11-28,CUST0433,Paid,Shipped,Google Ads
ORD00128,2024-12-25,CUST0480,Paid,Shipped,Flipkart Ads
ORD00129,2023-06-08,CUST0356,Pending,Shipped,Instagram
ORD00130,2023-01-24,CUST0416,Paid,Shipped,Amazon Ads
ORD00131,2024-02-08,CUST0183,Paid,Shipped,Amazon Ads
ORD00132,2024-05-30,CUST0207,Paid,Shipped,Direct
ORD00133,2023-12-30,CUST0256,Paid,Shipped,Google Ads
ORD00134,2024-01-17,CUST0235,Paid,Shipped,Instagram
ORD00135,2024-06-15,CUST0442,Paid,Shipped,Instagram
ORD00136,2023-06-01,CUST0355,Paid,Shipped,Instagram
ORD00137,2024-07-15,CUST0003,Paid,Shipped,Direct
ORD00138,2024-11-19,CUST0208,Paid,Delivered,Amazon Ads
ORD00139,2024-08-30,CUST0197,Paid,Shipped,Instagram
ORD00140,2024-09-08,CUST0341,Paid,Shipped,Direct
ORD00141,2024-02-24,CUST0125,Paid,Shipped,Direct
ORD00142,2023-09-07,CUST0138,Paid,Shipped,Flipkart Ads
ORD00143,2023-04-27,CUST0339,Paid,Delivered,Email
ORD00144,2024-05-26,CUST0025,Paid,Delivered,Instagram
ORD00145,2024-07-31,CUST0068,Paid,Shipped,Email
ORD00146,2023-12-01,CUST0061,Paid,Shipped,Amazon Ads
ORD00147,2024-02-22,CUST0029,Paid,Delivered,Direct
ORD00148,2023-10-22,CUST0383,Paid,Shipped,Instagram
ORD00149,2024-01-06,CUST0019,Paid,Shipped,Google Ads
ORD00150,2023-07-05,CUST0171,Paid,Shipped,Amazon Ads
ORD00151,2023-09-03,CUST0450,Paid,Delivered,Flipkart Ads
ORD00152,2024-09-28,CUST0074,Paid,Delivered,Flipkart Ads
ORD00153,2023-09-25,CUST0061,Paid,Shipped,Email
ORD00154,2024-10-04,CUST0427,Paid,Shipped,Direct
ORD00155,2023-08-25,CUST0153,Paid,Delivered,Email
ORD00156,2024-06-13,CUST0276,Paid,Shipped,Google Ads
ORD00157,2024-07-05,CUST0048,Paid,Shipped,Google Ads
ORD00158,2023-01-21,CUST0211,Paid,Shipped,Flipkart Ads
ORD00159,2024-06-03,CUST0343,Paid,Shipped,Instagram
ORD00160,2023-04-10,CUST0408,Paid,Shipped,Flipkart Ads
ORD00161,2024-04-22,CUST0139,Paid,Shipped,Flipkart Ads
ORD00162,2024-08-21,CUST0110,Paid,Delivered,Google Ads
ORD00163,2023-10-25,CUST0482,Paid,Shipped,Email
ORD00164,2024-06-09,CUST0183,Paid,Shipped,Google Ads
ORD00165,2023-11-30,CUST0028,Paid,Shipped,Direct
ORD00166,2023-01-02,CUST0197,Paid,Shipped,Google Ads
ORD00167,2024-01-10,CUST0191,Paid,Shipped,Google Ads
ORD00168,2023-10-20,CUST0315,Paid,Shipped,Flipkart Ads
ORD00169,2024-07-06,CUST0389,Paid,Delivered,Instagram
ORD00170,2023-11-14,CUST0051,Paid,Shipped,Flipkart Ads
ORD00171,2024-05-16,CUST0149,Paid,Shipped,Amazon Ads
ORD00172,2024-01-16,CUST0268,Paid,Shipped,Google Ads
ORD00173,2024-09-14,CUST0050,Paid,Delivered,Google Ads
ORD00174,2023-01-14,CUST0388,Paid,Shipped,Amazon Ads
ORD00175,2024-05-18,CUST0246,Paid,Shipped,Google Ads
ORD00176,2023-08-19,CUST0113,Paid,Shipped,Google Ads
ORD00177,2023-03-25,CUST0170,Paid,Delivered,Direct
ORD00178,2023-05-10,CUST0468,Paid,Shipped,Google Ads
ORD00179,2023-05-25,CUST0166,Paid,Shipped,Amazon Ads
ORD00180,2023-01-28,CUST0409,Paid,Shipped,Flipkart Ads
ORD00181,2023-03-07,CUST0014,Paid,Shipped,Google Ads
ORD00182,2023-06-12,CUST0203,Paid,Shipped,Instagram
ORD00183,2023-08-17,CUST0288,Paid,Shipped,Amazon Ads
ORD00184,2023-09-18,CUST0395,Paid,Shipped,Email
ORD00185,2024-03-24,CUST0189,Paid,Shipped,Direct
ORD00186,2024-02-28,CUST0402,Paid,Shipped,Amazon Ads
ORD00187,2024-04-04,CUST0155,Paid,Shipped,Flipkart Ads
ORD00188,2024-11-06,CUST0055,Paid,Delivered,Amazon Ads
ORD00189,2023-10-28,CUST0182,Paid,Returned,Email
ORD00190,2023-10-30,CUST0210,Paid,Shipped,Direct
ORD00191,2023-10-14,CUST0376,Paid,Shipped,Instagram
ORD00192,2024-01-30,CUST0471,Paid,Shipped,Email
ORD00193,2023-01-10,CUST0075,Paid,Delivered,Amazon Ads
ORD00194,2024-12-07,CUST0277,Paid,Shipped,Email
ORD00195,2024-09-21,CUST0428,Paid,Shipped,Amazon Ads
ORD00196,2023-09-27,CUST0133,Paid,Shipped,Instagram
ORD00197,2024-08-14,CUST0343,Failed,Delivered,Instagram
ORD00198,2024-08-27,CUST0425,Paid,Shipped,Flipkart Ads
ORD00199,2023-12-27,CUST0059,Paid,Shipped,Instagram
ORD00200,2023-09-14,CUST0345,Paid,Shipped,Google Ads
ORD00201,2023-05-13,CUST0489,Paid,Shipped,Email
ORD00202,2023-10-03,CUST0182,Paid,Shipped,Email
ORD00203,2024-11-13,CUST0458,Paid,Shipped,Amazon Ads
ORD00204,2024-05-27,CUST0406,Paid,Shipped,Instagram
ORD00205,2023-11-09,CUST0339,Pending,Delivered,Flipkart Ads
ORD00206,2024-07-29,CUST0321,Paid,Shipped,Flipkart Ads
ORD00207,2023-10-11,CUST0064,Paid,Shipped,Flipkart Ads
ORD00208,2023-05-01,CUST0327,Paid,Shipped,Direct
ORD00209,2023-04-17,CUST0260,Paid,Shipped,Google Ads
ORD00210,2024-11-17,CUST0193,Paid,Delivered,Instagram
ORD00211,2023-07-23,CUST0143,Paid,Shipped,Flipkart Ads
ORD00212,2023-06-14,CUST0104,Paid,Shipped,Google Ads
ORD00213,2023-11-01,CUST0460,Paid,Returned,Email
ORD00214,2024-05-11,CUST0406,Paid,Delivered,Amazon Ads
ORD00215,2024-09-23,CUST0214,Paid,Returned,Instagram
ORD00216,2024-07-09,CUST0242,Paid,Shipped,Instagram
ORD00217,2023-06-05,CUST0431,Paid,Shipped,Direct
ORD00218,2024-01-02,CUST0209,Failed,Shipped,Email
ORD00219,2024-12-19,CUST0093,Paid,Shipped,Instagram
ORD00220,2024-09-11,CUST0430,Paid,Shipped,Direct
ORD00221,2023-09-08,CUST0142,Paid,Shipped,Direct
ORD00222,2023-11-30,CUST0434,Paid,Shipped,Direct
ORD00223,2024-10-03,CUST0404,Paid,Shipped,Instagram
ORD00224,2024-05-25,CUST0434,Paid,Shipped,Instagram
ORD00225,2023-10-20,CUST0112,Paid,Shipped,Instagram
ORD00226,2023-01-20,CUST0417,Paid,Shipped,Google Ads
ORD00227,2023-10-09,CUST0375,Paid,Delivered,Direct
ORD00228,2023-01-01,CUST0059,Paid,Shipped,Google Ads
ORD00229,2023-04-29,CUST0043,Paid,Shipped,Amazon Ads
ORD00230,2023-02-04,CUST0207,Paid,Returned,Instagram
ORD00231,2023-07-17,CUST0268,Paid,Shipped,Email
ORD00232,2024-04-29,CUST0296,Paid,Returned,Flipkart Ads
ORD00233,2023-02-28,CUST0118,Paid,Shipped,Amazon Ads
ORD00234,2023-06-10,CUST0020,Paid,Shipped,Flipkart Ads
ORD00235,2024-11-21,CUST0222,Paid,Shipped,Flipkart Ads
ORD00236,2023-07-25,CUST0166,Paid,Shipped,Instagram
ORD00237,2023-01-12,CUST0131,Paid,Delivered,Email
ORD00238,2024-05-04,CUST0156,Paid,Shipped,Flipkart Ads
ORD00239,2023-10-03,CUST0184,Paid,Shipped,Direct
ORD00240,2024-11-23,CUST0090,Paid,Shipped,Flipkart Ads
ORD00241,2023-08-30,CUST0094,Paid,Shipped,Amazon Ads
ORD00242,2023-08-04,CUST0013,Pending,Shipped,Email
ORD00243,2023-09-08,CUST0461,Paid,Shipped,Email
ORD00244,2023-05-06,CUST0322,Paid,Shipped,Flipkart Ads
ORD00245,2023-08-05,CUST0293,Paid,Shipped,Email
ORD00246,2023-11-02,CUST0433,Paid,Shipped,Amazon Ads
ORD00247,2023-07-04,CUST0230,Paid,Shipped,Amazon Ads
ORD00248,2023-02-08,CUST0322,Paid,Shipped,Amazon Ads
ORD00249,2023-08-11,CUST0292,Paid,Delivered,Direct
ORD00250,2023-07-03,CUST0438,Paid,Shipped,Instagram
ORD00251,2024-05-09,CUST0026,Paid,Shipped,Flipkart Ads
ORD00252,2024-03-02,CUST0075,Paid,Shipped,Email
ORD00253,2023-06-27,CUST0456,Paid,Shipped,Amazon Ads
ORD00254,2024-03-03,CUST0364,Paid,Shipped,Flipkart Ads
ORD00255,2023-10-21,CUST0424,Paid,Shipped,Flipkart Ads
ORD00256,2023-05-31,CUST0299,Paid,Shipped,Instagram
ORD00257,2024-01-19,CUST0150,Paid,Shipped,Direct
ORD00258,2024-09-29,CUST0148,Paid,Shipped,Email
ORD00259,2023-11-04,CUST0008,Paid,Shipped,Direct
ORD00260,2023-12-02,CUST0029,Paid,Shipped,Email
ORD00261,2024-01-10,CUST0296,Paid,Shipped,Amazon Ads
ORD00262,2023-01-08,CUST0474,Paid,Delivered,Amazon Ads
ORD00263,2023-12-07,CUST0414,Paid,Shipped,Flipkart Ads
ORD00264,2023-05-09,CUST0209,Paid,Shipped,Email
ORD00265,2024-10-30,CUST0128,Paid,Shipped,Email
ORD00266,2023-12-18,CUST0340,Paid,Delivered,Direct
ORD00267,2023-12-24,CUST0116,Paid,Shipped,Amazon Ads
ORD00268,2024-05-31,CUST0439,Paid,Shipped,Google Ads
ORD00269,2024-05-09,CUST0144,Paid,Shipped,Flipkart Ads
ORD00270,2023-03-27,CUST0430,Pending,Shipped,Email
ORD00271,2023-06-24,CUST0318,Failed,Shipped,Instagram
ORD00272,2023-07-12,CUST0235,Paid,Shipped,Instagram
ORD00273,2023-11-07,CUST0007,Paid,Delivered,Google Ads
ORD00274,2023-04-29,CUST0464,Paid,Shipped,Amazon Ads
ORD00275,2023-08-06,CUST0045,Paid,Shipped,Amazon Ads
ORD00276,2024-03-02,CUST0443,Paid,Delivered,Amazon Ads
ORD00277,2024-02-18,CUST0239,Pending,Shipped,Direct
ORD00278,2023-04-24,CUST0440,Paid,Returned,Instagram
ORD00279,2023-05-25,CUST0432,Failed,Shipped,Amazon Ads
ORD00280,2024-06-21,CUST0155,Paid,Shipped,Instagram
ORD00281,2024-10-09,CUST0181,Paid,Shipped,Google Ads
ORD00282,2023-10-30,CUST0215,Paid,Shipped,Flipkart Ads
ORD00283,2024-08-10,CUST0088,Paid,Shipped,Direct
ORD00284,2023-12-11,CUST0256,Paid,Delivered,Email
ORD00285,2023-01-01,CUST0073,Paid,Returned,Google Ads
ORD00286,2023-05-27,CUST0419,Paid,Shipped,Instagram
ORD00287,2023-10-14,CUST0179,Paid,Shipped,Google Ads
ORD00288,2024-10-15,CUST0212,Paid,Shipped,Email
ORD00289,2023-02-22,CUST0293,Paid,Delivered,Direct
ORD00290,2023-10-31,CUST0234,Paid,Shipped,Flipkart Ads
ORD00291,2023-03-10,CUST0465,Paid,Shipped,Email
ORD00292,2023-12-27,CUST0239,Failed,Shipped,Direct
ORD00293,2024-08-24,CUST0223,Paid,Shipped,Instagram
ORD00294,2023-08-08,CUST0119,Paid,Returned,Email
ORD00295,2024-12-04,CUST0313,Paid,Shipped,Google Ads
ORD00296,2024-07-28,CUST0264,Paid,Shipped,Amazon Ads
ORD00297,2024-08-07,CUST0207,Paid,Shipped,Google Ads
ORD00298,2023-06-10,CUST0095,Paid,Shipped,Instagram
ORD00299,2024-11-11,CUST0373,Paid,Shipped,Flipkart Ads
ORD00300,2023-03-30,CUST0222,Paid,Shipped,Email
ORD00301,2024-11-18,CUST0366,Paid,Shipped,Flipkart Ads
ORD00302,2024-08-07,CUST0276,Pending,Shipped,Instagram
ORD00303,2024-08-11,CUST0380,Failed,Shipped,Email
ORD00304,2023-06-08,CUST0231,Paid,Shipped,Direct
ORD00305,2024-05-03,CUST0309,Paid,Shipped,Direct
ORD00306,2023-11-20,CUST0119,Paid,Shipped,Google Ads
ORD00307,2024-09-01,CUST0268,Paid,Shipped,Google Ads
ORD00308,2024-01-16,CUST0433,Paid,Shipped,Instagram
ORD00309,2023-04-12,CUST0273,Paid,Shipped,Direct
ORD00310,2024-05-08,CUST0064,Pending,Shipped,Email
ORD00311,2024-10-05,CUST0298,Pending,Delivered,Direct
ORD00312,2024-09-05,CUST0350,Paid,Shipped,Google Ads
ORD00313,2023-01-19,CUST0413,Paid,Shipped,Instagram
ORD00314,2024-03-29,CUST0403,Paid,Shipped,Direct
ORD00315,2024-04-26,CUST0494,Paid,Shipped,Instagram
ORD00316,2024-08-16,CUST0011,Paid,Delivered,Direct
ORD00317,2024-02-01,CUST0098,Paid,Shipped,Flipkart Ads
ORD00318,2023-10-06,CUST0434,Paid,Delivered,Direct
ORD00319,2023-12-31,CUST0071,Paid,Delivered,Google Ads
ORD00320,2023-11-27,CUST0364,Paid,Returned,Email
ORD00321,2024-10-02,CUST0058,Paid,Delivered,Google Ads
ORD00322,2023-12-10,CUST0290,Paid,Delivered,Google Ads
ORD00323,2024-03-30,CUST0251,Paid,Shipped,Google Ads
ORD00324,2024-08-23,CUST0276,Paid,Shipped,Instagram
ORD00325,2024-12-25,CUST0050,Paid,Shipped,Amazon Ads
ORD00326,2024-10-16,CUST0358,Paid,Shipped,Amazon Ads
ORD00327,2023-03-06,CUST0216,Paid,Returned,Flipkart Ads
ORD00328,2023-03-17,CUST0394,Pending,Shipped,Google Ads
ORD00329,2024-12-11,CUST0416,Paid,Delivered,Amazon Ads
ORD00330,2023-05-23,CUST0052,Paid,Delivered,Flipkart Ads
ORD00331,2024-08-27,CUST0271,Paid,Shipped,Instagram
ORD00332,2024-04-17,CUST0485,Paid,Shipped,Google Ads
ORD00333,2024-02-21,CUST0084,Paid,Shipped,Email
ORD00334,2023-11-01,CUST0387,Pending,Shipped,Instagram
ORD00335,2024-05-11,CUST0293,Paid,Shipped,Flipkart Ads
ORD00336,2023-10-18,CUST0126,Paid,Returned,Instagram
ORD00337,2023-04-12,CUST0296,Paid,Shipped,Email
ORD00338,2023-09-24,CUST0072,Paid,Shipped,Instagram
ORD00339,2024-09-13,CUST0296,Paid,Shipped,Flipkart Ads
ORD00340,2023-01-03,CUST0236,Paid,Shipped,Email
ORD00341,2023-03-26,CUST0056,Paid,Shipped,Email
ORD00342,2023-11-24,CUST0407,Paid,Shipped,Instagram
ORD00343,2024-03-25,CUST0360,Paid,Shipped,Email
ORD00344,2024-03-29,CUST0395,Paid,Shipped,Instagram
ORD00345,2024-09-20,CUST0110,Pending,Shipped,Google Ads
ORD00346,2023-08-09,CUST0192,Paid,Delivered,Email
ORD00347,2023-06-03,CUST0392,Paid,Shipped,Instagram
ORD00348,2024-10-26,CUST0093,Paid,Shipped,Google Ads
ORD00349,2023-01-12,CUST0350,Paid,Shipped,Email
ORD00350,2023-05-13,CUST0056,Paid,Shipped,Google Ads
ORD00351,2023-10-31,CUST0060,Paid,Shipped,Direct
ORD00352,2023-10-20,CUST0138,Paid,Shipped,Email
ORD00353,2023-10-27,CUST0039,Paid,Shipped,Direct
ORD00354,2023-02-12,CUST0028,Paid,Shipped,Flipkart Ads
ORD00355,2023-12-09,CUST0049,Paid,Shipped,Flipkart Ads
ORD00356,2023-11-22,CUST0420,Paid,Shipped,Instagram
ORD00357,2024-05-12,CUST0125,Paid,Shipped,Amazon Ads
ORD00358,2023-12-30,CUST0013,Pending,Shipped,Direct
ORD00359,2024-03-02,CUST0480,Paid,Shipped,Direct
ORD00360,2023-01-21,CUST0036,Paid,Delivered,Flipkart Ads
ORD00361,2024-02-11,CUST0101,Paid,Shipped,Direct
ORD00362,2024-09-10,CUST0282,Paid,Shipped,Amazon Ads
ORD00363,2023-12-02,CUST0086,Paid,Shipped,Google Ads
ORD00364,2023-04-27,CUST0004,Failed,Returned,Google Ads
ORD00365,2023-05-04,CUST0223,Paid,Shipped,Amazon Ads
ORD00366,2024-02-03,CUST0338,Paid,Shipped,Direct
ORD00367,2024-12-15,CUST0448,Paid,Shipped,Direct
ORD00368,2023-02-20,CUST0166,Paid,Shipped,Direct
ORD00369,2023-11-20,CUST0383,Paid,Shipped,Instagram
ORD00370,2023-05-21,CUST0344,Paid,Shipped,Email
ORD00371,2024-04-14,CUST0383,Paid,Shipped,Amazon Ads
ORD00372,2023-11-30,CUST0376,Paid,Delivered,Amazon Ads
ORD00373,2024-01-08,CUST0471,Paid,Shipped,Amazon Ads
ORD00374,2024-07-17,CUST0278,Paid,Shipped,Amazon Ads
ORD00375,2024-05-08,CUST0130,Paid,Shipped,Amazon Ads
ORD00376,2024-06-22,CUST0031,Paid,Shipped,Direct
ORD00377,2024-10-30,CUST0375,Paid,Shipped,Instagram
ORD00378,2023-06-05,CUST0011,Paid,Delivered,Flipkart Ads
ORD00379,2023-10-18,CUST0476,Paid,Shipped,Direct
ORD00380,2024-10-09,CUST0302,Paid,Delivered,Direct
ORD00381,2023-05-24,CUST0096,Paid,Shipped,Email
ORD00382,2023-04-16,CUST0190,Paid,Shipped,Flipkart Ads
ORD00383,2024-02-24,CUST0453,Failed,Delivered,Amazon Ads
ORD00384,2024-10-31,CUST0192,Paid,Shipped,Flipkart Ads
ORD00385,2024-10-19,CUST0486,Paid,Shipped,Instagram
ORD00386,2023-01-02,CUST0266,Paid,Shipped,Google Ads
ORD00387,2024-08-11,CUST0424,Paid,Shipped,Direct
ORD00388,2024-10-05,CUST0128,Paid,Shipped,Flipkart Ads
ORD00389,2023-03-31,CUST0238,Paid,Shipped,Email
ORD00390,2023-12-11,CUST0408,Paid,Shipped,Instagram
ORD00391,2023-12-16,CUST0355,Paid,Shipped,Google Ads
ORD00392,2024-04-03,CUST0428,Paid,Shipped,Instagram
ORD00393,2023-09-20,CUST0112,Paid,Delivered,Amazon Ads
ORD00394,2023-12-17,CUST0316,Paid,Shipped,Google Ads
ORD00395,2023-04-18,CUST0446,Paid,Shipped,Email
ORD00396,2024-08-08,CUST0343,Paid,Delivered,Google Ads
ORD00397,2023-02-08,CUST0145,Paid,Shipped,Email
ORD00398,2023-06-08,CUST0065,Paid,Delivered,Amazon Ads
ORD00399,2024-08-05,CUST0247,Pending,Shipped,Email
ORD00400,2023-11-08,CUST0223,Paid,Shipped,Instagram
ORD00401,2023-08-29,CUST0479,Paid,Shipped,Flipkart Ads
ORD00402,2024-03-20,CUST0490,Paid,Shipped,Instagram
ORD00403,2023-10-25,CUST0313,Paid,Shipped,Direct
ORD00404,2023-02-05,CUST0439,Paid,Delivered,Instagram
ORD00405,2023-03-25,CUST0106,Paid,Delivered,Google Ads
ORD00406,2024-03-27,CUST0181,Paid,Returned,Amazon Ads
ORD00407,2024-01-20,CUST0184,Pending,Shipped,Direct
ORD00408,2023-06-21,CUST0226,Paid,Shipped,Direct
ORD00409,2024-01-11,CUST0265,Paid,Shipped,Direct
ORD00410,2024-11-15,CUST0278,Paid,Shipped,Flipkart Ads
ORD00411,2023-12-28,CUST0397,Paid,Shipped,Email
ORD00412,2024-07-12,CUST0089,Paid,Shipped,Google Ads
